A!NET_NAME!REFDES!PIN_NUMBER!FUNC_LOGICAL_PATH!COMP_DEVICE_TYPE!FUNC_SCH_SIZE!FUNC_HAS_FIXED_SIZE!FUNC_DES!PIN_NET_SHORT!PIN_NO_SWAP_PIN!PIN_CDS_PINID!PIN_XNET_PINS!PIN_PIN_SIGNAL_MODEL!
J!f:/pcb/cadence_pcb/fpga_ccd/allegro/fpga_ccd_2.brd!Wed Jun 16 20:18:53 2021!0.00!0.00!21000.00!17000.00!0.01!mils!FPGA_CCD!10.400000 mil!2!OUT OF DATE!
S!GND!C13!2!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS27434\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F82!!!\2\!!!
S!+3.3V!C14!1!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS24968\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F81!!!\1\!!!
S!GND!C14!2!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS24968\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F81!!!\2\!!!
S!+1.2V!C17!1!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS27494\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F80!!!\1\!!!
S!GND!C17!2!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS27494\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F80!!!\2\!!!
S!+1.2V!C18!1!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS27218\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F79!!!\1\!!!
S!GND!C18!2!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS27218\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F79!!!\2\!!!
S!+1.2V!C19!1!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS27118\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F78!!!\1\!!!
S!GND!C19!2!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS27118\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F78!!!\2\!!!
S!+1.2V!C20!1!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS26690\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F77!!!\1\!!!
S!GND!C20!2!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS26690\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F77!!!\2\!!!
S!+1.2V!C21!1!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS27604\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F76!!!\1\!!!
S!GND!C21!2!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS27604\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F76!!!\2\!!!
S!+3.3V!C22!1!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS27158\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F75!!!\1\!!!
S!GND!C22!2!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS27158\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F75!!!\2\!!!
